raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sz300689,300689,sz,澄天伟业,52.56,-2.25,1.82,0.68,840.84,8.71,-2.01,-3.2,9.52,1.3,17.05,97420000.0,6076000000.0,5348000000.0
sz002929,002929,sz,润建股份,52.35,-3.45,6.35,1.05,588.58,2.3,-1.19,-4.54,10.77,-24.39,31.7,721320000.0,14991999999.999998,11337000000.0
sz301307,301307,sz,美利信,52.34,-0.4,14.38,2.09,-17.57,4.74,3.64,-2.17,5.29,-10.13,51.36,806390000.0,11023000000.0,5716000000.0
sh688601,688601,sh,力芯微,52.34,5.33,6.23,2.13,272.11,5.67,14.5,14.53,44.59,-3.54,23.18,428280000.0,6997000000.0,6997000000.0
sz001337,001337,sz,四川黄金,52.33,-4.85,7.65,1.07,31.86,10.68,10.21,9.78,34.21,3.52,91.26,1712880000.0,21979000000.0,21979000000.0
sz000962,000962,sz,东方钽业,52.32,0.63,4.14,0.87,117.02,6.86,2.69,-4.87,15.47,-7.2,58.79,1093650000.0,27593000000.0,26318000000.0
sh688625,688625,sh,呈和科技,52.3,0.04,1.22,0.57,52.79,8.8,-8.68,-8.23,-0.32,-27.41,76.96,165380000.0,13581000000.0,13581000000.0
bj920012,920012,bj,创达新材,52.3,-2.17,5.14,0.55,37.3,3.05,-10.6,5.44,15.78,-31.99,167.11,51910000.0,2579000000.0,1009000000.0
sh688282,688282,sh,理工导航,52.28,-5.2,1.03,0.97,-368.62,3.58,-6.86,-9.78,3.24,-28.38,-17.67,48910000.0,4654000000.0,4654000000.0
sz001237,001237,sz,惠康科技,52.24,-0.4,2.75,0.74,19.66,2.35,-0.31,-4.53,-1.15,-26.16,-1.92,50110000.0,7750000000.0,1821000000.0
sh603202,603202,sh,天有为,52.23,-0.95,1.69,0.91,12.15,1.23,1.85,-2.68,-1.34,-18.91,-42.17,44560000.0,8356999999.999999,2623000000.0
sh603040,603040,sh,新坐标,52.23,-0.21,0.52,0.77,38.73,7.09,-2.94,-9.04,0.06,-5.32,-17.0,53810000.0,10308000000.0,10307000000.0
sz300677,300677,sz,英科医疗,52.2,0.19,2.55,1.13,30.04,1.8,6.66,4.4,3.98,12.06,34.54,617920000.0,34177999999.999996,24305000000.0
