raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh600251,600251,sh,冠农股份,10.5,1.06,2.4,0.93,13.93,1.93,5.11,6.17,12.9,4.9,14.5,194550000.0,8158000000.0,8158000000.0,62.9,74.9,73.8,31.4,74.6,79.4,17.7,中期趋势靠前、估值相对占优、量比与换手适中
sz000807,000807,sz,云铝股份,26.35,0.84,2.06,1.17,10.53,2.66,1.5,-3.97,0.76,-11.91,-18.83,1887470000.0,91381000000.0,91380000000.0,62.8,20.8,71.3,93.5,77.3,76.3,90.3,估值相对占优、成交活跃、量比与换手适中
sz000902,000902,sz,新洋丰,13.86,1.76,1.11,0.77,10.72,1.4,4.37,5.24,1.46,7.28,-9.53,175000000.0,17391000000.0,15838999999.999998,62.8,62.3,86.5,25.9,60.9,89.4,48.2,估值相对占优
sh600585,600585,sh,海螺水泥,17.88,1.59,0.65,1.35,15.16,0.5,2.41,1.02,-2.51,-8.4,-15.86,462870000.0,94354000000.0,71117000000.0,62.7,21.6,88.3,68.0,70.3,87.0,90.8,估值相对占优、量比与换手适中、市值稳定性较高
sh603132,603132,sh,金徽股份,19.52,5.74,2.01,2.47,27.35,6.22,6.61,4.0,29.1,13.03,38.34,382870000.0,19091000000.0,19091000000.0,62.7,90.7,32.6,60.3,62.5,53.7,52.0,中期趋势靠前
sz000977,000977,sz,浪潮信息,73.79,-0.43,2.31,0.53,42.41,4.87,1.26,-1.64,-1.53,13.52,10.86,2508230000.0,108358999999.99998,108238000000.00002,62.6,62.0,24.1,96.1,64.9,58.1,92.1,成交活跃、市值稳定性较高
sh601918,601918,sh,新集能源,10.4,-0.67,1.42,0.77,11.07,1.51,3.59,5.16,7.11,-4.15,61.49,382440000.0,26942000000.0,26942000000.0,62.6,50.5,84.2,60.2,63.3,54.7,66.0,估值相对占优
sz300014,300014,sz,亿纬锂能,55.9,2.44,1.75,0.97,20.84,2.42,0.9,-1.11,5.04,-14.63,-14.69,2067230000.0,121486999999.99998,118116000000.00002,62.5,23.4,57.7,94.7,70.4,99.1,92.6,成交活跃、量比与换手适中、市值稳定性较高
sz300285,300285,sz,国瓷材料,64.12,1.39,8.47,0.66,99.68,8.78,0.0,-13.29,8.55,9.79,135.21,4644840000.0,63930999999.99999,54699000000.0,62.4,77.6,2.2,98.6,46.0,84.1,85.9,中期趋势靠前、成交活跃、市值稳定性较高
sh601611,601611,sh,中国核建,11.01,3.57,1.88,2.42,28.35,1.48,2.99,-5.09,4.66,-4.34,-18.02,629680000.0,33182000000.0,33182000000.0,62.4,45.4,61.2,76.9,62.6,84.7,71.7,成交活跃、市值稳定性较高
sh600906,600906,sh,财达证券,6.57,2.02,2.41,2.13,18.72,1.67,2.82,0.0,3.46,-2.52,-0.3,335760000.0,21320000000.0,13956000000.0,62.4,47.8,69.7,54.5,73.3,93.1,56.3,量比与换手适中
sh600120,600120,sh,浙江东方,4.96,2.9,1.26,1.4,12.06,1.01,4.2,-2.94,-3.5,2.44,-18.53,211340000.0,16940000000.0,16940000000.0,62.3,44.5,89.8,36.0,76.2,94.3,47.3,估值相对占优、量比与换手适中
sz002463,002463,sz,沪电股份,119.22,4.31,3.1,1.37,45.31,12.75,5.12,-3.08,13.27,-8.99,64.28,7090400000.0,229423000000.0,229242000000.0,62.2,45.2,15.2,99.6,90.0,74.1,97.4,成交活跃、量比与换手适中、市值稳定性较高
sh603067,603067,sh,振华股份,34.78,3.17,2.54,0.84,39.62,7.04,1.76,3.6,10.55,1.05,21.4,660530000.0,26277000000.0,26277000000.0,62.2,65.6,21.3,77.5,73.7,90.4,64.9,成交活跃、量比与换手适中
sh601878,601878,sh,浙商证券,9.33,1.3,0.78,2.49,14.85,1.14,1.97,-1.37,-1.17,0.54,-12.31,332040000.0,42674000000.0,42674000000.0,62.2,44.5,83.1,54.1,52.4,82.9,79.3,估值相对占优、市值稳定性较高
sh600369,600369,sh,西南证券,4.13,2.48,0.8,2.16,22.07,1.05,3.51,0.24,-0.72,4.98,-6.22,218570000.0,27444000000.0,27444000000.0,62.2,53.9,73.7,37.8,60.0,99.7,66.9,估值相对占优
sz000938,000938,sz,紫光股份,34.9,-0.57,3.33,0.58,46.98,6.51,-1.22,-5.68,-6.51,24.0,42.25,3342040000.0,99817000000.0,99817000000.0,62.1,59.9,18.4,97.8,74.0,56.1,91.0,成交活跃、量比与换手适中、市值稳定性较高
sh600508,600508,sh,上海能源,11.45,5.34,10.85,4.88,38.81,0.9,30.71,31.46,33.45,13.13,38.67,1218010000.0,11585000000.0,11585000000.0,62.1,91.4,60.8,88.3,1.2,59.4,31.3,中期趋势靠前、成交活跃
