raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh601919,601919,sh,中远海控,17.42,2.41,1.21,1.33,10.62,1.16,9.08,11.38,13.78,27.15,18.18,2633790000.0,265971000000.0,218735000000.0,90.5,92.6,88.3,95.4,74.3,98.7,97.2,中期趋势靠前、估值相对占优、成交活跃
sz000975,000975,sz,山金国际,29.26,2.38,3.22,1.35,21.39,5.1,8.69,7.81,30.39,30.28,22.68,2346050000.0,81124000000.0,73829000000.0,83.7,97.9,40.0,94.5,90.5,98.3,87.1,中期趋势靠前、成交活跃、量比与换手适中
sh601318,601318,sh,中国平安,54.92,2.94,1.23,1.88,6.24,0.97,6.02,3.0,2.83,6.13,-17.6,7149810000.0,994471999999.9999,585451000000.0,83.2,65.6,94.1,99.5,69.7,93.7,99.5,估值相对占优、成交活跃、市值稳定性较高
sh600919,600919,sh,江苏银行,12.13,1.59,0.61,1.09,6.16,0.82,4.39,2.71,5.66,9.7,23.32,1357580000.0,222602000000.0,222602000000.0,82.9,75.3,95.9,88.1,64.1,87.0,96.2,中期趋势靠前、估值相对占优、成交活跃
sz000001,000001,sz,平安银行,11.56,1.31,0.62,1.15,5.16,0.48,4.14,2.39,4.05,9.37,4.62,1383380000.0,224332000000.00003,224330000000.00003,82.5,72.2,98.9,88.3,65.6,83.0,96.4,中期趋势靠前、估值相对占优、成交活跃
sh600036,600036,sh,招商银行,39.58,1.75,0.51,1.39,6.62,0.9,3.61,1.72,1.49,6.95,-1.26,4125330000.0,998201000000.0,816494000000.0,82.3,64.5,94.5,97.7,70.1,89.3,99.6,估值相对占优、成交活跃、量比与换手适中
sh601233,601233,sh,桐昆股份,24.5,-0.85,2.27,1.6,17.56,1.46,4.48,0.41,14.43,29.22,43.36,1339850000.0,58286000000.0,58179000000.0,82.2,93.5,73.9,87.8,84.2,52.1,83.2,中期趋势靠前、估值相对占优、成交活跃
sh600489,600489,sh,中金黄金,27.26,0.29,3.22,1.61,21.06,4.32,6.99,4.2,29.3,24.12,19.03,4254610000.0,132138000000.00002,132138000000.00002,82.0,96.4,43.4,97.9,91.4,68.4,91.9,中期趋势靠前、成交活跃、量比与换手适中
sh601229,601229,sh,上海银行,9.87,1.33,0.51,0.98,5.79,0.56,4.67,6.47,7.75,12.03,-0.1,717620000.0,140243000000.0,140243000000.0,82.0,80.9,97.7,76.9,60.9,83.3,92.5,中期趋势靠前、估值相对占优、成交活跃
sh601077,601077,sh,渝农商行,7.04,3.38,0.91,1.58,6.35,0.57,7.65,8.98,6.99,7.94,14.68,563830000.0,79953000000.0,62221000000.0,81.3,75.3,97.2,71.8,73.9,87.4,86.8,中期趋势靠前、估值相对占优、成交活跃
sh601328,601328,sh,交通银行,7.2,1.12,0.59,0.96,6.6,0.55,4.35,4.35,2.71,10.91,1.67,1099080000.0,636219000000.0,187722000000.0,80.6,71.0,97.2,85.4,61.1,80.3,98.9,中期趋势靠前、估值相对占优、成交活跃
sh601939,601939,sh,建设银行,10.66,1.23,1.13,0.89,8.16,0.8,3.5,5.23,2.9,9.25,17.44,1154720000.0,2788660000000.0,102268000000.0,80.4,69.4,94.6,86.4,63.7,81.9,100.0,估值相对占优、成交活跃、市值稳定性较高
sh601009,601009,sh,南京银行,11.78,0.0,0.65,1.16,6.38,0.75,4.53,4.71,4.62,11.58,5.11,945460000.0,145643000000.0,145643000000.0,79.9,75.5,96.2,82.4,66.0,64.3,92.9,中期趋势靠前、估值相对占优、成交活跃
sz000983,000983,sz,山西焦煤,7.44,1.64,2.25,1.68,31.81,1.16,9.25,9.9,16.98,11.04,17.54,955120000.0,42238000000.0,42237000000.0,79.8,87.6,60.7,82.8,82.2,87.7,78.4,中期趋势靠前、成交活跃、量比与换手适中
sh601169,601169,sh,北京银行,5.17,1.57,0.97,2.12,5.33,0.39,4.44,2.78,2.17,7.44,-0.62,1059460000.0,109308999999.99998,109308999999.99998,79.5,66.3,98.8,85.0,62.2,86.7,90.6,估值相对占优、成交活跃、市值稳定性较高
sh600015,600015,sh,华夏银行,6.85,2.09,0.55,1.22,4.02,0.34,3.95,1.33,2.39,7.2,6.2,576200000.0,109017000000.0,105402000000.0,79.1,66.3,99.8,72.2,66.6,94.1,90.5,估值相对占优、成交活跃、市值稳定性较高
sh600801,600801,sh,华新建材,23.59,1.77,0.96,1.42,15.09,1.51,3.15,-1.79,13.14,28.0,-3.04,305120000.0,49044000000.0,31651000000.0,79.0,92.3,76.6,52.5,74.3,89.6,80.1,中期趋势靠前、估值相对占优、量比与换手适中
sh601899,601899,sh,紫金矿业,34.54,-0.58,1.64,1.31,13.58,4.81,4.86,-1.4,10.18,16.53,2.58,11751470000.0,918443000000.0,711586000000.0,78.5,85.6,53.4,99.9,77.2,56.0,99.3,中期趋势靠前、成交活跃、量比与换手适中
sh600362,600362,sh,江西铜业,45.95,0.2,3.06,1.11,19.9,1.92,-3.71,-5.72,6.37,7.11,-15.41,2918680000.0,159112000000.0,95358000000.0,78.1,73.5,64.8,96.2,83.8,67.1,93.8,中期趋势靠前、成交活跃、量比与换手适中
sz000651,000651,sz,格力电器,41.45,0.51,1.01,1.26,7.96,1.53,3.91,1.92,2.62,5.82,5.68,2304460000.0,232178000000.00003,228887000000.0,78.1,64.3,86.0,94.4,71.1,71.6,96.6,估值相对占优、成交活跃、量比与换手适中
sh601225,601225,sh,陕西煤业,26.5,2.99,0.6,1.62,15.89,2.75,5.03,1.77,7.9,6.72,29.83,1543090000.0,256917999999.99997,256917999999.99997,78.1,75.3,61.9,90.2,70.6,93.0,97.0,中期趋势靠前、成交活跃、量比与换手适中
sh600547,600547,sh,山东黄金,36.5,-1.48,5.06,1.49,32.62,5.48,21.67,16.35,38.57,27.67,-5.02,6744300000.0,168262000000.0,131927000000.0,77.4,98.1,27.9,99.3,91.4,43.1,94.5,中期趋势靠前、成交活跃、量比与换手适中
sh601166,601166,sh,兴业银行,18.28,0.99,0.55,1.19,4.99,0.47,2.52,-0.33,-0.11,1.56,-8.57,2101790000.0,386857000000.0,386857000000.0,76.9,51.6,99.1,93.7,65.9,78.4,98.3,估值相对占优、成交活跃、市值稳定性较高
sh600352,600352,sh,浙江龙盛,12.94,3.19,1.77,1.41,21.37,1.33,-1.22,-7.51,1.73,20.15,26.74,737460000.0,42098000000.0,42098000000.0,76.9,74.6,69.5,77.7,80.5,90.1,78.3,中期趋势靠前、成交活跃、量比与换手适中
sh601211,601211,sh,国泰海通,17.64,1.5,0.65,0.92,9.59,0.94,-2.22,-3.08,-6.91,17.37,-12.67,1530630000.0,310130000000.0,237242999999.99997,76.8,58.0,92.2,89.8,60.6,85.7,97.7,估值相对占优、成交活跃、市值稳定性较高
sz002966,002966,sz,苏州银行,8.7,1.4,0.87,1.12,7.1,0.76,1.99,4.19,7.81,8.75,6.88,330110000.0,38895000000.0,38241000000.0,76.6,77.5,95.4,55.0,66.9,84.3,75.3,中期趋势靠前、估值相对占优、市值稳定性较高
sh600028,600028,sh,中国石化,5.33,4.51,0.63,2.94,17.93,0.76,6.39,4.1,3.5,12.49,-12.16,3174540000.0,644533000000.0,505031000000.00006,76.3,74.3,81.3,96.8,41.1,71.3,99.1,中期趋势靠前、估值相对占优、成交活跃
sh600346,600346,sh,恒力石化,18.76,-0.58,0.52,0.82,11.76,1.84,7.45,2.29,14.81,11.01,-15.65,689800000.0,132054000000.0,132054000000.0,76.3,86.4,77.9,75.8,57.4,56.0,91.8,中期趋势靠前、估值相对占优、成交活跃
sh601601,601601,sh,中国太保,31.03,2.01,0.97,1.78,5.54,0.97,2.92,0.29,-1.87,0.0,-23.87,2049670000.0,298519000000.0,212402000000.0,75.9,44.9,94.4,93.4,69.9,93.0,97.4,估值相对占优、成交活跃、市值稳定性较高
sh600941,600941,sh,中国移动,97.53,1.33,1.41,1.49,16.05,1.49,1.57,0.86,3.33,0.65,-1.33,1245870000.0,2115154000000.0,88047000000.0,75.7,57.5,76.0,87.1,79.4,83.3,99.9,估值相对占优、成交活跃、量比与换手适中
sh601838,601838,sh,成都银行,18.88,1.23,0.55,1.09,5.96,0.91,4.71,4.31,3.68,6.79,24.22,437520000.0,80022000000.0,80022000000.0,75.4,68.7,95.0,62.6,63.7,81.9,87.0,估值相对占优、市值稳定性较高
sh601101,601101,sh,昊华能源,13.51,6.21,5.29,1.28,24.05,1.56,6.46,0.9,23.27,14.39,95.51,1004890000.0,19454000000.0,19454000000.0,75.3,91.6,63.4,83.6,84.9,47.0,51.7,中期趋势靠前、成交活跃、量比与换手适中
sz002648,002648,sz,卫星化学,26.57,-1.59,1.29,0.75,10.18,2.35,2.98,0.42,7.88,16.68,54.65,1153060000.0,89505000000.0,89447000000.0,75.2,83.7,74.8,86.3,61.8,41.6,88.1,中期趋势靠前、估值相对占优、成交活跃
sh601818,601818,sh,光大银行,3.07,1.66,0.54,1.68,4.8,0.36,2.68,0.66,-0.97,1.32,-7.39,768330000.0,181393000000.0,142469000000.0,75.1,49.3,99.5,78.8,68.8,88.0,94.9,估值相对占优、成交活跃、市值稳定性较高
sz002558,002558,sz,巨人网络,26.66,2.03,3.45,1.02,20.37,3.18,-1.95,-10.51,7.85,3.05,-38.15,1735570000.0,50669000000.0,50669000000.0,74.9,69.1,51.6,91.7,84.9,93.3,80.8,成交活跃、量比与换手适中、市值稳定性较高
sh600988,600988,sh,赤峰黄金,48.77,-1.34,7.07,1.65,25.84,6.77,19.59,11.53,27.87,46.15,57.73,5814080000.0,92683000000.0,81149000000.0,74.8,98.4,30.9,98.9,72.5,45.1,88.9,中期趋势靠前、成交活跃、量比与换手适中
sz002440,002440,sz,闰土股份,12.4,0.81,4.24,1.12,17.31,1.41,-4.91,-10.6,4.11,33.72,70.49,494360000.0,13938000000.0,11735000000.0,74.6,82.4,75.0,66.6,89.6,75.9,38.8,中期趋势靠前、估值相对占优、量比与换手适中
sh603259,603259,sh,药明康德,155.84,-4.31,2.77,1.08,21.46,5.58,-6.62,-3.41,25.01,53.39,74.98,10767740000.0,464989000000.00006,385436000000.0,74.5,98.4,38.6,99.7,80.9,2.7,98.8,中期趋势靠前、成交活跃、量比与换手适中
sh600030,600030,sh,中信证券,27.27,0.55,0.87,1.16,10.74,1.44,-0.98,-2.43,-3.5,6.36,-2.64,2871420000.0,426074000000.0,332055000000.0,74.4,52.9,84.6,96.1,67.8,72.1,98.5,估值相对占优、成交活跃、市值稳定性较高
sh601609,601609,sh,金田股份,13.38,1.13,5.54,0.7,28.16,2.27,14.26,28.65,36.25,9.55,25.47,1271110000.0,23129000000.0,23129000000.0,74.3,88.9,49.8,87.2,69.9,80.4,60.3,中期趋势靠前、成交活跃
sz000776,000776,sz,广发证券,20.64,0.39,0.85,1.03,10.32,1.21,-2.69,-1.34,-3.55,12.23,-4.09,1035820000.0,161505000000.0,121859999999.99998,74.2,59.4,88.1,84.3,64.7,69.9,94.1,估值相对占优、成交活跃、市值稳定性较高
sz002237,002237,sz,恒邦股份,15.19,-1.68,5.86,1.85,21.86,1.58,5.12,3.12,17.57,13.99,14.33,1063680000.0,21721000000.0,18112000000.0,74.1,89.7,65.6,85.1,77.5,40.3,56.9,中期趋势靠前、成交活跃、量比与换手适中
sh601886,601886,sh,江河集团,13.23,1.07,2.66,0.79,20.74,2.07,3.76,45.38,57.69,47.16,69.4,402280000.0,14990000000.0,14990000000.0,74.1,99.7,60.5,60.5,73.5,79.6,40.5,中期趋势靠前、量比与换手适中
sz300628,300628,sz,亿联网络,42.18,1.08,2.41,1.05,18.52,5.8,5.13,5.37,10.94,16.68,22.79,737220000.0,53439000000.0,30617000000.0,74.0,86.9,42.9,77.6,77.4,79.7,81.6,中期趋势靠前、成交活跃、量比与换手适中
sh600737,600737,sh,中粮糖业,14.54,-0.14,3.6,0.66,31.41,2.85,6.05,4.15,23.85,15.76,-13.81,1141890000.0,31099000000.0,31099000000.0,73.9,92.2,42.2,86.0,78.0,62.3,69.8,中期趋势靠前、成交活跃、量比与换手适中
sh600985,600985,sh,淮北矿业,17.99,-0.22,1.1,0.92,37.11,1.17,6.58,6.7,20.33,24.07,65.65,536370000.0,48452000000.0,48452000000.0,73.9,94.5,56.6,69.8,64.2,61.1,80.0,中期趋势靠前、市值稳定性较高
sh601336,601336,sh,新华保险,59.43,1.09,1.09,1.71,5.02,1.58,1.5,-1.05,-2.96,3.11,-12.14,1350700000.0,185395000000.0,123938000000.00002,73.7,48.7,87.5,87.9,72.4,79.9,95.2,估值相对占优、成交活跃、量比与换手适中
sh600016,600016,sh,民生银行,3.51,1.15,0.6,1.17,5.24,0.27,2.93,-0.57,-0.57,0.37,-7.07,745610000.0,153676000000.0,124472000000.0,73.5,48.6,99.3,78.3,65.9,80.7,93.6,估值相对占优、成交活跃、市值稳定性较高
sh601872,601872,sh,招商轮船,19.0,-3.94,1.71,1.04,19.4,3.56,6.2,4.51,19.5,21.72,117.64,2668520000.0,153416000000.0,153416000000.0,73.4,93.6,50.3,95.7,71.7,8.0,93.4,中期趋势靠前、成交活跃、量比与换手适中
sh601898,601898,sh,中煤能源,14.81,3.57,0.73,1.69,10.71,1.18,6.01,2.85,7.01,-5.55,19.05,986220000.0,196361000000.0,135541000000.00002,73.4,49.4,87.6,83.5,70.0,84.7,95.4,估值相对占优、成交活跃、量比与换手适中
sh600497,600497,sh,驰宏锌锗,10.19,0.69,3.35,1.36,42.7,3.05,-1.36,-5.03,10.76,7.04,40.75,1715850000.0,51361000000.0,51361000000.0,73.3,78.7,33.6,91.5,91.7,74.1,80.9,中期趋势靠前、成交活跃、量比与换手适中
sh600909,600909,sh,华安证券,8.19,0.24,2.25,1.11,20.4,1.6,-4.1,-0.61,0.37,16.17,22.97,921850000.0,41148000000.0,41148000000.0,72.9,69.7,67.4,81.9,77.5,67.7,77.9,成交活跃、量比与换手适中、市值稳定性较高
sh600188,600188,sh,兖矿能源,21.83,1.96,0.91,1.2,21.52,2.99,-1.18,0.23,9.31,1.63,70.15,1186210000.0,219104000000.0,130135999999.99998,72.8,67.9,51.1,86.8,69.0,92.3,96.0,成交活跃、市值稳定性较高
sz000737,000737,sz,北方铜业,14.91,1.43,5.77,1.13,27.45,3.96,-0.27,2.76,13.82,8.36,-2.23,1628130000.0,28399000000.0,28397000000.000004,72.7,82.5,37.3,90.7,77.8,84.7,67.2,中期趋势靠前、成交活跃、量比与换手适中
sz300760,300760,sz,迈瑞医疗,158.68,2.74,0.98,1.36,24.54,4.98,5.99,1.99,6.81,4.51,-15.99,1874050000.0,192288000000.0,192108000000.0,72.3,69.6,36.9,92.5,73.1,96.6,95.3,成交活跃、量比与换手适中、市值稳定性较高
sh603225,603225,sh,新凤鸣,19.7,3.58,1.43,1.73,30.59,1.6,3.68,-1.15,6.37,17.4,2.28,468840000.0,33047000000.000004,32870000000.0,72.3,81.7,55.8,65.0,74.6,84.6,72.1,中期趋势靠前、量比与换手适中、市值稳定性较高
sz000783,000783,sz,长江证券,8.63,0.35,1.41,0.83,11.35,1.36,-5.58,-4.32,-0.46,10.22,9.94,673450000.0,47725000000.0,47725000000.0,71.9,63.5,84.8,75.6,64.6,69.3,79.7,估值相对占优、成交活跃、市值稳定性较高
sh600546,600546,sh,山煤国际,13.66,3.41,2.02,1.72,20.21,1.69,4.51,2.71,10.25,1.0,40.32,543060000.0,27080000000.0,27080000000.0,71.5,67.8,67.0,70.2,79.5,87.0,65.9,成交活跃、量比与换手适中
sz002215,002215,sz,诺 普 信,9.46,2.83,4.42,1.07,12.39,2.07,5.11,2.71,10.26,7.62,-8.07,335730000.0,9500000000.0,7644000000.0,71.5,78.7,73.8,55.7,87.0,95.3,21.9,中期趋势靠前、估值相对占优、量比与换手适中
sh601699,601699,sh,潞安环能,16.85,0.96,1.15,1.05,42.83,1.1,3.31,3.44,11.44,6.56,45.1,578510000.0,50405000000.0,50405000000.0,71.4,78.7,54.7,72.3,67.5,78.0,80.5,中期趋势靠前、成交活跃、市值稳定性较高
sz000415,000415,sz,渤海租赁,4.5,-2.17,1.65,1.81,5.78,0.89,-2.81,-3.02,4.9,9.22,11.11,403960000.0,27830000000.0,24268000000.0,71.4,73.2,95.4,60.9,74.6,33.3,66.6,中期趋势靠前、估值相对占优、量比与换手适中
sh603198,603198,sh,迎驾贡酒,39.79,2.1,0.92,1.02,15.98,3.1,0.99,-0.97,12.91,12.24,4.55,294200000.0,31832000000.0,31832000000.0,71.4,85.9,58.8,51.0,65.0,94.3,70.9,中期趋势靠前、市值稳定性较高
sh601156,601156,sh,东航物流,18.67,0.59,1.12,0.96,10.89,1.55,-1.37,4.48,9.82,18.22,5.28,199770000.0,29639999999.999996,17636000000.0,71.4,86.1,83.0,34.2,65.2,72.7,68.2,中期趋势靠前、估值相对占优
sh603993,603993,sh,洛阳钼业,18.99,1.99,1.72,1.43,14.6,4.53,-0.73,-8.48,-1.91,2.59,-3.67,5725240000.0,406278000000.0,331581000000.0,71.3,49.5,52.4,98.8,80.5,92.7,98.4,成交活跃、量比与换手适中、市值稳定性较高
sh600690,600690,sh,海尔智家,20.94,0.38,0.67,0.98,10.49,1.68,1.57,-2.04,-0.27,4.67,-16.96,878140000.0,196368000000.0,130938000000.00002,71.3,56.4,81.9,81.2,62.1,69.7,95.6,估值相对占优、成交活跃、市值稳定性较高
sh600026,600026,sh,中远海能,19.14,-2.25,2.2,1.08,19.03,2.27,8.14,8.38,20.08,0.21,69.38,1638310000.0,104719000000.0,73268000000.0,71.2,71.9,61.5,91.0,76.4,32.1,89.9,中期趋势靠前、成交活跃、量比与换手适中
sh601877,601877,sh,正泰电器,26.22,1.55,1.82,1.35,11.11,1.22,5.3,2.7,6.72,-8.15,-3.94,1030420000.0,56346000000.0,56346000000.0,71.2,41.7,86.4,84.0,79.5,86.4,82.6,估值相对占优、成交活跃、量比与换手适中
sh600795,600795,sh,国电电力,5.16,0.98,0.65,0.68,14.18,1.53,3.2,2.79,5.52,3.01,5.33,595440000.0,92032000000.0,92032000000.0,71.2,65.3,78.1,73.2,55.2,78.3,88.7,估值相对占优、成交活跃、市值稳定性较高
