raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sz000601,000601,sz,韶能股份,6.16,-0.65,5.09,1.65,36.48,1.54,-3.9,-7.37,-4.05,-26.75,32.47,333330000.0,6555000000.0,6466000000.0
sh603528,603528,sh,多伦科技,6.16,-0.65,0.86,0.91,-82.36,2.31,-3.75,-3.45,5.66,-12.5,-36.3,37130000.0,4349000000.0,4349000000.0
sh600256,600256,sh,广汇能源,6.16,-1.12,2.41,1.22,22.24,1.58,3.88,6.39,13.65,-1.39,26.83,947240000.0,39375000000.0,39375000000.0
sz002274,002274,sz,华昌化工,6.15,5.67,6.85,2.52,-63.55,1.11,5.85,6.77,11.82,10.61,10.81,385350000.0,5857000000.0,5768000000.0
bj920866,920866,bj,绿亨科技,6.15,1.65,4.56,0.72,30.94,1.46,0.33,1.82,11.01,-6.99,-23.72,31910000.0,1108000000.0,702000000.0
sz000758,000758,sz,中色股份,6.14,1.15,1.59,1.15,25.05,2.0,0.33,-2.85,6.97,-7.6,-6.76,193240000.0,12217000000.0,12174000000.0
sz000683,000683,sz,博源化工,6.14,1.49,1.83,0.95,22.09,1.85,2.5,0.16,-0.65,-11.01,-14.01,373530000.0,22821000000.0,20499000000.0
sz000027,000027,sz,深圳能源,6.14,-0.16,0.33,1.0,14.6,0.89,-1.6,-3.61,-3.76,-22.47,-3.46,97140000.0,29210000000.000004,29210000000.000004
sh600278,600278,sh,东方创业,6.14,-0.32,0.37,0.98,28.95,0.71,-2.69,-3.0,1.82,-5.83,-18.46,19840000.0,5284000000.0,5284000000.0
sz300177,300177,sz,中海达,6.13,-0.65,1.89,1.27,-18.09,3.65,-4.81,-3.77,5.51,-16.6,-40.66,70120000.0,4562000000.0,3717000000.0
sz000800,000800,sz,一汽解放,6.13,0.0,0.31,1.33,37.96,1.15,-0.33,-1.45,-2.23,1.57,-8.98,93700000.0,30167000000.0,30164999999.999996
sh601988,601988,sh,中国银行,6.13,1.32,0.13,1.07,8.05,0.73,3.9,5.33,2.17,6.74,9.21,1655900000.0,1975162000000.0,1291993000000.0
sh601226,601226,sh,华电科工,6.13,0.33,0.62,0.89,38.12,1.66,-2.08,-3.01,6.06,-21.53,-21.33,44370000.0,7123999999.999999,7123999999.999999
sh603789,603789,sh,ST星农,6.12,0.16,1.0,0.92,-16.01,15.51,-4.23,-8.25,2.0,9.87,15.04,15770000.0,1623000000.0,1591000000.0
sz300393,300393,sz,中来股份,6.11,-1.77,2.2,1.26,-4.47,3.76,-5.12,-3.17,7.57,-34.86,-8.81,129020000.0,6658000000.0,5841000000.0
sz300276,300276,sz,三丰智能,6.11,-2.86,1.69,0.55,-41.89,4.89,-9.35,-11.58,-1.77,-25.03,-37.01,109450000.0,8559999999.999999,6459000000.0
