raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh688808,688808,sh,联讯仪器,2221.62,0.57,1.92,1.1,834.79,77.76,0.03,-1.17,24.24,19.44,2613.26,808990000.0,228086000000.0,42869000000.0
sh688498,688498,sh,源杰科技,1549.97,-0.2,1.37,1.22,541.99,78.29,2.1,8.47,26.22,28.42,250.12,2599810000.0,192972000000.0,190479000000.0
sh600519,600519,sh,贵州茅台,1306.48,0.19,0.1,1.02,20.06,6.5,-0.11,-2.72,-1.1,2.13,-3.16,1690500000.0,1633207000000.0,1633207000000.0
sh688256,688256,sh,寒武纪,1026.4,1.58,0.96,1.08,193.71,47.52,-2.29,-7.15,-10.51,-21.05,12.95,6160650000.0,645456000000.0,645456000000.0
sh688826,688826,sh,频准激光,1011.31,5.34,17.08,1.63,243.03,18.1,7.35,441.15,441.15,441.15,441.15,1289730000.0,40452000000.0,7704000000.000001
sz300308,300308,sz,中际旭创,853.81,0.92,1.15,1.07,48.83,25.06,-4.67,-7.3,-10.22,-28.36,40.2,10842850000.0,998731000000.0,947676000000.0
sz002371,002371,sz,北方华创,707.79,1.06,0.82,1.95,90.36,12.67,-0.72,-6.87,0.2,17.57,54.43,4132300000.0,513635999999.99994,513208000000.0
sh688072,688072,sh,拓荆科技,669.99,2.29,0.83,1.01,89.53,15.32,-2.9,-4.7,-4.41,12.48,103.23,1559040000.0,194752000000.0,189401000000.0
sh688802,688802,sh,沐曦股份-U,663.99,1.33,1.96,1.0,-405.11,20.28,-8.92,-7.17,-5.95,0.08,14.46,240170000.0,265662000000.0,12303000000.0
sh688836,688836,sh,宇树科技-W,606.01,0.53,11.83,0.78,419.54,27.86,-28.28,301.86,301.86,301.86,301.86,2111680000.0,245109000000.0,18233000000.0
sh688795,688795,sh,摩尔线程-U,533.24,0.07,1.1,0.92,-338.06,20.58,-2.69,-6.86,-5.54,-13.49,-9.3,177030000.0,250638000000.0,16116999999.999998
sz300757,300757,sz,罗博特科,522.4,6.15,3.47,2.34,-3297.46,52.6,8.16,1.27,27.59,-19.7,123.92,2929570000.0,87558000000.0,84925000000.0
bj920045,920045,bj,蘅东光,468.2,-2.75,4.95,1.69,95.64,33.45,36.1,25.32,89.17,21.52,112.5,643640000.0,44620000000.0,13193000000.0
sh688627,688627,sh,精智达,459.45,2.42,2.25,1.05,516.42,24.2,-6.61,0.26,4.35,32.04,105.69,965590000.0,43247000000.0,43247000000.0
sh688809,688809,sh,强一股份,441.8,4.77,2.8,1.21,116.13,14.13,-5.02,-6.99,-2.16,-9.37,72.71,312760000.0,57239000000.0,11448000000.0
sh688502,688502,sh,茂莱光学,425.21,-0.45,1.91,1.41,1208.27,19.05,-7.56,4.22,23.36,-2.42,6.63,428060000.0,22451000000.0,22451000000.0
sh688630,688630,sh,芯碁微装,419.85,1.17,1.97,1.19,177.54,26.44,-3.26,-1.33,19.98,18.84,213.72,1085570000.0,61510000000.0,55311000000.0
sh601869,601869,sh,长飞光纤,404.75,2.6,2.81,2.07,97.34,20.48,17.34,17.15,43.83,-0.9,248.73,4619510000.0,335095000000.0,164465000000.0
sz300502,300502,sz,新易盛,399.67,-0.3,1.79,1.36,42.48,22.93,-2.87,-6.66,-5.11,-24.99,30.16,8880230000.0,557243000000.0,501283000000.0
sh688766,688766,sh,普冉股份,397.81,-2.97,5.01,1.35,59.54,17.7,-11.04,0.81,17.52,6.93,213.01,2929420000.0,59155999999.99999,59155999999.99999
sz301717,301717,sz,超纯应材,396.89,5.61,19.53,1.8,194.46,16.34,3.63,-20.94,501.44,501.44,501.44,1327190000.0,40422000000.0,6916000000.0
sz001309,001309,sz,德明利,395.67,-0.34,2.9,0.9,21.87,13.55,0.47,-2.92,11.59,-34.7,70.92,1889570000.0,89755000000.0,65297000000.0
sz301377,301377,sz,鼎泰高科,393.88,0.33,1.52,1.07,175.26,53.48,-8.39,-12.39,9.02,14.41,184.18,592460000.0,167023000000.0,38939000000.0
sh603986,603986,sh,兆易创新,393.02,-0.63,2.82,1.11,34.78,7.4,-2.65,-4.88,7.96,-17.2,84.08,7354930000.0,275800000000.0,262731000000.0
sz301666,301666,sz,大普微-UW,392.0,-1.01,3.6,1.13,141.66,46.9,-5.95,-10.75,-6.78,-48.22,750.69,374040000.0,170997000000.0,10394000000.0
sh603444,603444,sh,吉比特,388.07,0.77,0.81,0.84,12.48,4.62,0.85,1.24,3.09,15.32,-6.91,225300000.0,27957000000.0,27957000000.0
sh688027,688027,sh,国盾量子,384.12,2.82,1.41,2.17,6577.98,12.27,-1.55,-7.44,-0.22,-30.03,-23.75,434110000.0,39511000000.0,30873000000.0
sh688200,688200,sh,华峰测控,383.71,0.26,0.98,1.26,135.56,19.06,-5.71,-6.44,6.34,52.51,200.37,755750000.0,77048000000.0,77048000000.0
sz300750,300750,sz,宁德时代,383.39,1.77,0.27,1.52,20.87,4.76,-1.44,-2.68,-3.05,-11.35,6.81,4445110000.0,1773813000000.0,1633272000000.0
sh688025,688025,sh,杰普特,380.07,-8.44,5.55,3.31,95.32,14.15,-1.9,4.99,27.28,0.04,170.17,2015740000.0,36125000000.0,36125000000.0
sh688702,688702,sh,盛科通信-U,371.06,4.27,1.97,1.37,-1002.36,68.17,-1.84,-3.6,5.59,39.75,161.88,1464960000.0,152135000000.0,75322000000.0
sz301308,301308,sz,江波龙,367.02,-0.71,1.35,0.81,13.16,7.09,-3.16,-11.41,11.34,-29.35,50.51,1396920000.0,157697000000.0,103445000000.0
sh688037,688037,sh,芯源微,366.37,3.01,1.72,1.42,1157.86,26.33,6.29,8.07,9.37,50.92,146.76,1257540000.0,73921000000.0,73921000000.0
sh688361,688361,sh,中科飞测,361.96,6.78,1.85,1.84,-2526.81,25.07,5.84,4.0,0.35,76.72,136.59,2299300000.0,127429000000.0,127429000000.0
sh688012,688012,sh,中微公司,361.13,2.01,0.81,1.05,81.76,11.52,-2.92,-5.2,0.31,27.7,97.56,2740360000.0,345906000000.0,340256000000.0
sh603061,603061,sh,金海通,347.81,2.43,2.58,1.24,129.66,17.96,5.34,6.12,28.78,19.13,260.18,771990000.0,30258999999.999996,30258999999.999996
sz002916,002916,sz,深南电路,347.6,1.94,0.7,1.35,65.15,14.39,1.07,-9.9,10.0,-12.84,51.2,1615020000.0,236773999999.99997,231094000000.0
sh688807,688807,sh,优迅股份,325.46,-4.0,10.56,1.39,256.91,14.4,12.33,22.21,40.15,-20.04,74.1,557730000.0,26037000000.0,5207000000.0
sh688536,688536,sh,思瑞浦,310.63,-1.5,1.5,0.87,103.33,6.48,15.56,15.92,29.43,9.7,94.48,637670000.0,42890000000.0,42137000000.0
sh688797,688797,sh,臻宝科技,304.29,-0.09,5.5,1.34,190.64,16.15,-2.18,-12.94,-4.61,582.88,582.88,482290000.0,47253000000.0,8883000000.0
sh603129,603129,sh,春风动力,303.35,-0.55,0.32,0.72,26.79,5.81,-4.88,7.0,0.12,30.33,10.52,150720000.0,46559000000.0,46559000000.0
sz301205,301205,sz,联特科技,302.22,-0.55,6.16,1.43,449.67,24.34,14.48,0.14,31.68,-11.06,79.56,1521890000.0,39314000000.0,25309000000.0
sh688635,688635,sh,长进光子,297.61,-6.03,10.74,1.89,299.6,18.48,-5.6,-0.8,33.16,-51.29,626.23,565560000.0,27877000000.0,5285000000.0
