raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh601020,601020,sh,华钰矿业,21.7,-6.83,3.87,1.85,20.8,4.2,0.0,-4.24,18.9,-12.36,-18.97,701430000.0,17793000000.0,17793000000.0
sz300678,300678,sz,中科信息,21.69,1.5,0.61,0.84,407.81,7.63,-3.73,-7.35,-8.4,-12.79,-29.35,38140000.0,6429000000.000001,6316000000.0
sh600188,600188,sh,兖矿能源,21.68,-0.69,0.61,1.49,21.38,2.97,-3.3,-1.9,9.49,-8.37,68.98,805260000.0,217598999999.99997,129242000000.0
sz300900,300900,sz,广联航空,21.67,0.51,2.4,0.52,-51.6,3.67,-15.45,-8.99,-1.63,-36.6,-44.54,131990000.0,7102000000.0,5565000000.0
sz002921,002921,sz,联诚精密,21.66,-0.09,1.32,0.69,2109.86,2.46,-5.7,-2.43,8.95,-17.01,27.26,36720000.0,3227000000.0000005,2789000000.0
sz002262,002262,sz,恩华药业,21.66,-0.87,0.59,0.66,20.05,2.62,-6.23,-3.95,1.79,4.84,-8.72,114160000.0,22002000000.0,19143000000.0
sh688093,688093,sh,世华科技,21.66,-12.94,2.75,7.65,18.5,2.15,-18.94,-18.26,-13.81,-28.8,-40.74,160160000.0,6073000000.0,6073000000.0
sz300911,300911,sz,亿田智能,21.65,-1.37,5.32,0.83,-24.11,3.66,-2.57,2.07,18.05,-15.5,-34.98,191440000.0,3969000000.0,3710000000.0
sz002150,002150,sz,正泰电源,21.65,-1.14,1.03,0.71,30.96,3.61,-10.24,-1.86,1.88,-32.95,8.25,78690000.0,7813000000.0,7762000000.0
sz301371,301371,sz,敷尔佳,21.61,2.47,5.15,1.29,24.49,2.03,-18.82,-18.21,-11.36,-28.54,-5.59,85750000.0,11239000000.0,1685000000.0000002
sz300631,300631,sz,久吾高科,21.6,0.84,1.01,1.72,37.32,1.98,-1.64,-3.66,12.09,-11.4,-24.58,26490000.0,2701000000.0,2627000000.0
