raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sz000830,000830,sz,鲁西化工,11.95,1.36,1.2,1.69,24.42,1.2,-0.99,-4.55,-4.4,-9.61,-27.0,273510000.0,22757000000.0,22755000000.0,53.1,16.3,76.7,51.8,73.7,83.7,57.1,估值相对占优、量比与换手适中
sh601388,601388,sh,怡球资源,3.37,0.6,2.62,4.05,20.27,1.57,0.3,0.9,11.22,-3.99,12.9,198060000.0,7418000000.000001,7418000000.000001,53.1,54.8,78.5,38.2,44.2,72.9,13.2,估值相对占优
sh600601,600601,sh,方正科技,11.39,-1.3,1.78,0.8,55.75,9.27,-13.32,-10.6,16.11,-8.37,-2.82,838580000.0,48678000000.0,47500000000.0,53.0,47.7,16.6,85.2,66.8,45.7,79.9,成交活跃、市值稳定性较高
sh688690,688690,sh,纳微科技,39.93,-1.58,1.97,1.2,92.18,8.05,-11.46,-7.42,18.63,4.7,55.32,314350000.0,16124000000.0,16124000000.0,53.0,77.8,5.0,56.3,77.3,41.7,44.5,中期趋势靠前、量比与换手适中
sh605198,605198,sh,安德利,63.44,-2.08,2.05,2.58,83.96,7.83,-7.24,-6.71,16.43,10.18,69.99,354490000.0,21201000000.0,17163000000.0,52.9,81.1,7.1,61.4,60.4,34.6,54.5,中期趋势靠前
sz000061,000061,sz,农 产 品,6.06,5.94,2.4,2.12,27.62,1.39,-0.98,3.24,6.88,-7.34,-40.76,257230000.0,12029000000.0,10874000000.0,52.8,39.3,71.4,50.4,73.5,50.9,30.1,估值相对占优、量比与换手适中
sh600335,600335,sh,国机汽车,5.21,3.37,1.64,1.76,16.62,0.67,3.58,1.56,4.2,-6.76,-18.95,125460000.0,7750000000.0,7750000000.0,52.8,37.1,90.6,14.0,75.6,87.6,13.8,估值相对占优、量比与换手适中
sz000878,000878,sz,云南铜业,16.01,-3.2,1.53,1.58,28.74,2.17,-3.32,-2.97,5.19,-10.56,-21.06,492870000.0,38827000000.0,32077999999.999996,52.7,27.8,60.6,73.4,78.8,18.6,75.2,成交活跃、量比与换手适中、市值稳定性较高
sh603619,603619,sh,中曼石油,23.4,-0.72,3.87,0.93,34.74,2.52,2.9,0.26,11.38,-10.52,2.14,419980000.0,10819000000.0,10819000000.0,52.7,37.3,52.5,67.7,86.2,54.0,25.4,量比与换手适中
sz002807,002807,sz,江阴银行,4.04,-0.25,0.99,1.07,5.29,0.54,3.59,2.54,1.25,-1.22,-0.12,107560000.0,10938000000.0,10922000000.0,52.6,44.1,99.4,4.9,66.7,60.7,26.8,估值相对占优
sh603019,603019,sh,中科曙光,82.79,0.74,0.81,0.68,49.94,5.25,-7.88,-4.12,-10.11,-3.06,-2.82,979000000.0,121131000000.0,121126000000.0,52.5,29.8,25.3,88.4,56.5,74.9,92.9,成交活跃、市值稳定性较高
sz001301,001301,sz,尚太科技,62.6,-1.91,1.2,0.54,26.35,3.17,10.48,13.92,19.69,-4.0,2.96,193430000.0,22825000000.0,16281000000.0,52.5,61.5,53.8,36.2,56.4,37.0,57.3,趋势因子相对较强
sh600276,600276,sh,恒瑞医药,46.6,-0.34,0.7,0.77,40.03,4.8,-11.02,-15.23,-12.55,-5.23,-21.51,2082830000.0,309294000000.0,297262000000.0,52.4,23.7,32.7,95.9,57.6,59.4,98.2,成交活跃、市值稳定性较高
sz300001,300001,sz,特锐德,36.23,-0.08,0.58,0.73,28.46,4.33,-3.46,1.63,8.05,-4.23,42.18,213740000.0,38235000000.0,37359000000.0,52.4,49.2,43.9,44.5,55.8,63.1,74.6,市值稳定性较高
sz002478,002478,sz,常宝股份,6.68,6.2,3.22,1.83,16.64,1.01,-2.34,6.2,10.23,-7.62,-19.24,149080000.0,6017000000.0,4829000000.0,52.4,43.1,89.2,22.2,86.4,47.1,5.7,估值相对占优、量比与换手适中
sh603323,603323,sh,苏农银行,4.24,-0.24,1.09,1.53,4.56,0.49,2.17,1.44,0.0,-0.98,-5.4,102730000.0,9414000000.0,9414000000.0,52.4,41.9,99.8,2.6,76.5,60.9,19.7,估值相对占优、量比与换手适中
sz002156,002156,sz,通富微电,60.71,-0.87,2.44,0.57,63.7,5.93,-14.08,-2.18,-12.01,-1.11,61.38,2236500000.0,92133000000.0,92125000000.0,52.3,33.3,17.9,96.7,66.8,51.9,90.2,成交活跃、市值稳定性较高
sz002987,002987,sz,京北方,11.6,3.29,2.08,2.35,39.47,4.28,7.11,2.02,7.61,-1.94,-34.71,240830000.0,12069000000.0,11762000000.0,52.3,53.6,35.9,48.2,65.8,88.7,30.8,趋势因子相对较强
sh688111,688111,sh,金山办公,236.07,1.19,0.66,0.75,30.37,7.27,-8.71,-9.69,-2.14,-7.37,-22.81,716730000.0,109540000000.00002,109540000000.00002,52.2,24.9,33.4,81.1,56.9,81.3,92.3,成交活跃、市值稳定性较高
sz301603,301603,sz,乔锋智能,119.89,0.75,7.74,2.66,32.5,5.45,-7.78,-3.21,17.96,-4.64,59.01,352130000.0,14478000000.0,4524000000.0,52.2,59.2,36.0,61.0,44.5,75.0,39.2,流动性因子相对较强
sz002346,002346,sz,柘中股份,20.41,-4.27,1.73,0.78,15.04,3.0,-21.8,-1.64,21.85,2.23,2.9,156760000.0,9013000000.0,9013000000.0,52.1,73.8,70.8,24.9,66.0,3.3,18.3,中期趋势靠前、估值相对占优
sz300233,300233,sz,金城医药,13.45,2.91,2.3,1.2,36.96,1.38,-5.28,-3.72,7.0,0.07,-2.83,113480000.0,5163000000.0,5007000000.0,52.1,55.9,63.8,7.9,79.9,94.1,0.4,量比与换手适中
sh603929,603929,sh,亚翔集成,158.83,-4.22,1.68,1.01,27.74,14.19,-13.18,-2.78,-2.26,8.37,69.24,572500000.0,33888000000.0,33888000000.0,52.0,53.7,32.2,76.0,70.7,4.0,70.7,成交活跃、量比与换手适中、市值稳定性较高
sz301029,301029,sz,怡合达,25.61,3.73,2.41,2.63,29.68,3.71,-4.94,-5.81,7.65,-6.6,-1.59,280310000.0,16282000000.0,11598000000.0,52.0,42.0,47.3,52.8,62.1,82.4,45.1,流动性因子相对较强
sz002292,002292,sz,奥飞娱乐,8.09,4.52,3.45,2.12,57.22,3.95,-0.25,-3.11,2.15,2.93,-8.59,280140000.0,11963000000.0,8234999999.999999,52.0,53.3,28.8,52.6,81.7,71.1,29.9,量比与换手适中
sh603233,603233,sh,大参林,18.38,5.88,0.84,3.33,15.35,2.78,2.62,-2.55,-2.44,13.88,7.3,173950000.0,20932000000.0,20932000000.0,52.0,57.6,71.9,31.1,34.0,51.7,53.9,估值相对占优
sh600366,600366,sh,宁波韵升,11.44,-1.04,1.68,0.97,25.29,1.96,-7.89,-6.99,6.32,-5.15,-16.44,212010000.0,12573000000.0,12573000000.0,51.9,43.9,67.3,43.7,69.8,49.4,32.9,估值因子相对较强
sh688112,688112,sh,鼎阳科技,68.6,0.57,1.52,0.73,69.51,6.89,-1.76,36.9,44.63,7.2,86.46,162990000.0,10948000000.0,10948000000.0,51.9,85.2,13.3,28.1,63.2,72.4,27.0,中期趋势靠前
sh603337,603337,sh,杰克科技,38.24,3.58,0.92,1.93,20.93,3.37,-5.56,-13.52,0.5,-1.19,-10.86,162110000.0,18217000000.0,17859000000.0,51.9,42.6,58.5,27.6,66.1,84.6,48.6,估值因子相对较强
sz002603,002603,sz,以岭药业,15.93,0.57,0.68,0.53,19.44,2.52,-5.18,-5.57,-4.04,3.04,-3.86,148450000.0,26614000000.0,21928000000.0,51.9,44.6,68.9,22.0,52.1,72.4,63.6,估值因子相对较强
sz002258,002258,sz,利尔化学,14.16,0.0,1.01,0.5,25.71,1.44,-5.41,-0.49,0.78,13.92,10.19,114230000.0,11334000000.0,11316000000.0,51.8,62.2,72.5,8.3,54.0,64.3,28.3,估值相对占优
sz000923,000923,sz,河钢资源,15.43,-1.78,1.93,1.45,57.21,1.04,-1.78,3.14,3.84,2.66,-24.99,187320000.0,10072000000.0,9689000000.0,51.7,56.2,56.0,34.1,82.6,38.9,23.0,量比与换手适中
sz002637,002637,sz,赞宇科技,11.1,-2.03,3.27,0.91,23.26,1.41,-2.63,3.84,16.97,-6.13,9.52,170470000.0,5221000000.0,5159000000.0,51.7,53.9,75.8,30.3,81.0,35.3,1.0,估值相对占优、量比与换手适中
sz300039,300039,sz,上海凯宝,5.52,4.35,3.02,0.97,22.33,1.35,-6.44,-5.8,-4.0,2.22,-6.91,149680000.0,5774000000.0,5060000000.0,51.7,42.8,78.0,22.6,80.4,73.6,4.3,估值相对占优、量比与换手适中
