raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sz001257,001257,sz,盛龙股份,26.38,3.29,13.88,2.52,49.15,6.29,9.64,3.01,10.33,5.56,243.94,500260000.0,48432000000.0,3613000000.0000005,56.3,68.7,20.8,74.9,22.0,88.7,80.6,成交活跃、市值稳定性较高
sh603338,603338,sh,浙江鼎力,57.83,-1.65,0.54,1.48,15.22,2.6,4.48,1.53,-4.38,16.59,4.22,159560000.0,29282000000.0,29282000000.0,56.3,56.5,68.7,26.9,72.4,40.7,67.0,量比与换手适中
sh601975,601975,sh,招商南油,4.01,-0.74,1.94,1.01,12.87,1.58,6.37,11.08,11.39,-14.86,33.98,362800000.0,18768000000.0,18768000000.0,56.2,28.3,84.1,65.9,72.8,53.7,47.3,估值相对占优、量比与换手适中
sz002244,002244,sz,滨江集团,9.39,4.57,0.84,1.61,14.97,0.97,0.0,-1.47,-0.63,-6.12,-5.93,213440000.0,29216000000.000004,25893000000.0,56.2,26.3,87.5,41.2,72.7,70.4,66.7,估值相对占优、量比与换手适中
sh600276,600276,sh,恒瑞医药,47.0,1.1,0.78,1.09,40.37,4.84,-10.75,-13.54,-12.79,-2.89,-20.84,2333880000.0,311948000000.0,299813000000.0,56.1,26.3,29.9,96.8,65.5,80.0,98.6,成交活跃、市值稳定性较高
sz001258,001258,sz,立新能源,12.07,-1.79,5.55,1.22,75.53,3.65,0.42,-21.93,3.96,14.19,70.48,618170000.0,11265000000.0,11265000000.0,55.9,69.7,22.1,78.7,81.5,38.7,26.9,成交活跃、量比与换手适中
sz300398,300398,sz,飞凯材料,35.03,0.46,2.01,1.09,49.69,3.97,-0.57,-5.43,9.3,-1.2,56.84,398560000.0,19968000000.0,19860000000.0,55.9,54.7,29.0,68.5,75.1,70.9,50.2,量比与换手适中
sh600259,600259,sh,中稀有色,81.99,0.87,1.42,1.19,60.16,7.17,-4.41,-8.2,15.27,-2.23,46.12,389920000.0,27583999999.999996,27583999999.999996,55.9,59.3,14.6,67.6,72.8,76.7,65.1,量比与换手适中
sz002907,002907,sz,华森制药,16.15,2.6,9.99,3.3,90.99,3.88,0.0,17.8,28.07,30.45,9.34,556620000.0,6744000000.0,5476000000.0,55.8,95.2,16.0,77.2,12.4,98.6,7.4,中期趋势靠前、成交活跃
sh603296,603296,sh,华勤技术,76.68,2.24,1.65,1.79,22.5,3.62,-1.82,-2.96,-8.33,-13.01,19.88,1002650000.0,116232000000.0,61236000000.0,55.7,5.7,52.6,88.5,75.0,96.3,92.7,成交活跃、量比与换手适中、市值稳定性较高
sh600906,600906,sh,财达证券,6.61,2.64,1.6,3.7,18.84,1.68,3.44,0.61,4.09,-1.93,0.3,222670000.0,21449000000.0,14041000000.0,55.7,45.8,74.4,43.5,36.1,98.0,53.0,估值相对占优
sh600601,600601,sh,方正科技,11.62,0.61,1.53,1.0,56.87,9.46,-5.53,-10.34,21.17,-8.29,-0.85,736480000.0,49661000000.0,48459000000.0,55.6,48.5,13.7,83.3,69.3,73.0,81.0,成交活跃、市值稳定性较高
sz002430,002430,sz,杭氧股份,23.93,3.06,1.15,2.76,23.7,2.39,3.15,0.04,2.48,-1.44,-19.07,267410000.0,23412000000.0,23402000000.0,55.6,43.8,59.5,54.5,49.3,92.0,58.2,估值因子相对较强
